,artist,song_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrical_valence,pca1,pca2
187,Big & Rich,That Kind of Town,=,++,=,--,=,--,++,=,+,=,--,-36.46156837746623,-0.04572332305145731
188,Sara Bareilles,Little Voice,=,-,+,--,=,++,++,=,-,=,--,42.20711184267175,-0.3980693152174067
189,Wale,Vanity,=,++,=,--,++,-,=,++,++,=,--,-17.13078331684462,-0.3572446531415944
190,John Mayall & The Bluesbreakers,Padlock On The Blues,=,=,=,--,=,--,++,=,=,=,--,-18.903797550643375,-0.4164734709841634
191,Bill Haley & His Comets,"Shake, Rattle And Roll",+,++,=,--,++,-,=,++,++,=,--,6.749993709684537,0.21428025333920714
192,Pearl Jam,Help Help,-,+,=,--,=,--,++,++,=,=,--,18.093050016621753,0.6854277422909986
193,Hardtimes,Ouda,=,=,=,--,=,--,++,+,=,=,--,10.632477768050501,-0.3506327346205981
194,Nipsey Hussle,Keyz 2 the City 2 (feat. TeeFlii),=,=,=,--,++,--,=,++,=,=,--,-19.9283128961256,0.4205951371681359
195,Yo La Tengo,Raw Power,-,++,=,--,=,--,++,=,++,=,--,-3.313170612394773,0.14205255754889784
196,Queens of the Stone Age,The Bronze (Bonus Track),=,++,=,--,++,--,++,=,=,=,--,-2.110968259971682,0.2107759290074956
197,KRS-One,Rappaz R. N. Dainja,+,++,=,--,++,--,++,++,++,=,--,13.25191188181633,-0.36533645688725597
198,Nas,The Message,+,=,=,--,++,--,++,++,++,=,--,17.08310086529168,0.5516740784211868
199,Filter,Take That Knife Out Of My Back,=,++,=,--,=,--,++,++,+,=,--,2.563404551375589,0.2988918933701265
200,What So Not,If You Only Knew - Daktyl Remix,+,=,=,--,++,=,++,=,++,=,--,-18.358263922481076,0.46208583029743633
201,Smino,Flea Flicka,=,=,+,--,++,++,=,=,++,=,--,35.10418964886319,-0.7626882896640935
202,Marilyn Manson,I Want To Kill You Like They Do In the Movies,=,++,=,--,=,--,++,++,+,=,--,-32.39820845907044,0.011900257418279533
203,The Orlons,Cement Mixer,=,+,=,--,++,--,=,+,++,=,--,12.809836305055716,0.5112200409160419
204,Muzz,Knuckleduster,-,++,=,--,++,=,++,=,=,=,--,7.269760022358841,0.3887416337712639
205,Black Label Society,The Betrayal,=,++,=,--,=,--,++,++,=,=,--,-28.40140528013275,0.26374069008467294
206,Racey,Little Girls,=,++,=,--,=,=,=,++,++,=,--,15.31056369419853,-0.44024285266966257
207,Dean Alexander,Life Ain't Fair,=,=,=,--,=,-,=,+,=,=,--,-23.45481821853454,0.20207691306689887
208,Rauw Alejandro,Mis Días Sin Ti,=,=,=,--,++,=,=,=,=,=,--,18.484039385947213,0.8734895080126203
209,Diplo,Revolution (feat. Faustix & Imanos and Kai),=,+,=,--,+,--,++,=,=,=,--,-13.350501188809723,-0.3563099269733809
210,Lil Durk,Pass The Water,+,+,=,--,++,--,=,++,++,=,--,-1.3897309281115289,0.21725677911253347
211,UFO,Young Blood,=,+,=,--,=,--,++,++,++,=,--,-37.02147147590462,-0.15281453847019874
212,Joyner Lucas,Keep It 100,=,++,=,--,++,=,=,+,++,=,--,9.180666020464011,-0.5863237869768719
213,Classified,Hurt Everybody,+,++,=,--,++,-,=,++,=,=,--,-33.55239774155485,-0.06487154818449337
214,Chalk Dinosaur,Soup Bones,=,++,=,--,++,--,++,=,++,=,--,30.66513915008895,0.012850090774304195
215,Kulick,Rope,=,++,=,--,++,--,=,++,++,=,--,6.583959403668406,0.45128233361864695
216,Bulletboys,Mine,-,=,=,--,=,--,++,++,=,=,--,17.299805987282355,-0.4994213579078711
217,Mystic Roots Band,Come Over,+,+,=,--,++,--,++,++,++,=,--,8.49136989969807,-0.6324738925655213
218,Travis Tritt,The Girl's Gone Wild,=,++,=,--,++,--,=,++,++,=,--,5.085269984226781,0.38945270300465923
219,Hot Shade,Dive,+,++,=,--,+,--,=,+,+,=,--,-37.42985145353856,-0.15524746207969342
220,Olivia O'Brien,Was It All In My Head?,=,+,=,--,=,--,=,++,++,=,--,-19.31653542393045,0.3992799412539481
221,Eskimo Joe,How Does It Feel,=,+,=,--,=,--,++,=,-,=,--,8.495762831988378,-0.44746983958483405
222,Priscilla Block,Just About Over You,=,=,=,--,=,+,=,=,++,=,--,-11.360902480894945,0.7542946637329305
223,Lost Kings,FU4E,+,+,=,--,=,-,++,++,++,=,--,-15.348900554383057,-0.3260732022281221
224,War,It's My Life,=,=,=,--,++,--,=,++,=,=,--,-12.424543651978743,-0.4401750931914327
225,Killing Joke,Corporate Elect - Live,--,++,=,--,++,--,++,++,--,=,--,23.641538285577155,-0.005210687640282814
226,Method Man,What The Blood Clot,=,++,=,--,++,=,=,++,++,=,--,18.53348244509419,-0.097761610613519
227,Black Label Society,Queen of Sorrow - Live,--,++,=,--,++,=,++,++,=,=,--,11.643622463016499,0.5136045191434591
228,Senses Fail,"Rum Is for Drinking, Not for Burning - Acoustic",+,=,=,--,=,++,=,=,++,=,--,8.674834131710329,0.22987224026556113
229,Vintage Trouble,Not Alright by Me (We Can't Wait),=,+,=,--,=,=,=,=,++,=,--,2.590276216520792,0.39756834771202176
230,Hootie & The Blowfish,Little Darlin',=,++,+,--,++,-,++,++,++,=,--,34.1045984351182,-0.753572883917531
231,W.A.S.P.,Chainsaw Charlie (Murders in the New Morgue),-,++,=,--,++,--,++,++,=,=,--,-6.985125158414704,-0.04633713441367808
232,LÉON,You And I - R3HAB Extended Remix,+,++,=,--,=,--,++,+,=,=,--,-35.384141681929385,-0.13912345934252954
233,Patty Loveless,The Last Thing On My Mind,=,+,=,--,=,=,++,++,++,=,--,10.403380944865557,0.6370292905690262
234,Canned Heat,Struttin' My Stuff,-,++,=,--,++,--,++,++,++,=,--,-6.718337194505183,0.0483632001606748
235,Olivia Newton-John,I Will Lift Up My Eyes,--,=,=,--,=,++,++,++,-,=,--,15.930396399120077,0.6737340217416674
236,Ratt,Dead Reckoning,=,++,=,--,+,--,++,++,++,=,--,8.026117607619076,-0.6869705393824467
237,He Is Legend,Mushroom River,-,++,=,--,++,--,++,++,-,=,--,-11.569498248272266,-0.18507281237041368
238,Trace Adkins,See Jane Run,=,++,=,--,=,-,++,+,++,=,--,9.49525410812878,0.32390300035660075
